source_zh	target_en	predicted_en	Error type - Single	Analysis
在安全方面，我们需要确保我们不是像过去那样坐在一条缓慢移动的运河驳船上，而8:15抵达曼彻斯特的火车在我们身边呼啸而过。	In terms of security, we need to ensure we aren’t sitting, as it were, on a slow-moving canal barge while the 8:15 to Manchester flashes past.	When it comes to security, we need to ensure that we are not sitting on a slow-moving barge on the canals of the past, while the train to Manchester at 8:00 a.m. rushes past us.	Fluency Error	"The model translation is ""When it comes to security, we need to ensure that we are not sitting on a slow-moving barge on the canals of the past, while the train to Manchester at 8:00 a.m. rushes past us."" The model adds ""on the canals of the past"" which is not in the source and makes the metaphor unnecessarily elaborate. It also changes ""8:15 to Manchester"" to ""train to Manchester at 8:00 a.m."" and uses ""rushes past us"" instead of ""flashes past,"" making the language slightly less vivid. The phrase ""when it comes to"" is also wordier than the original ""in terms of."" The correct translation should be ""In terms of security, we need to ensure we aren't sitting, as it were, on a slow-moving canal barge while the 8:15 to Manchester flashes past."""
同样，欧盟一些成员国政府将“优惠伙伴关系 ” （ Privileged Partnership）作为正式成员国地位之外的另一种选择，明确加入谈判框架的意图也不应该成为一个障碍。	The same is true of the reported intention of some EU governments to have the so-called “Privileged Partnership” concept explicitly included in the negotiating framework as an alternative to full membership.	Similarly, the EU’s member governments should consider a “PrivilegedPartnership” as an alternative to full membership, with the clear intention of joining the negotiation framework as soon as possible not being an obstacle.	Grammatical Error	"The model translation is ""Similarly, the EU's member governments should consider a 'PrivilegedPartnership' as an alternative to full membership, with the clear intention of joining the negotiation framework as soon as possible not being an obstacle."" The model has several grammatical issues. First, ""PrivilegedPartnership"" lacks a space. Second, the phrase ""with the clear intention of joining the negotiation framework as soon as possible not being an obstacle"" is grammatically awkward and unclear. The model also changes the meaning by suggesting this should be considered as a future possibility rather than describing what some governments reportedly intend to do. The correct translation should be ""The same is true of the reported intention of some EU governments to have the so-called 'Privileged Partnership' concept explicitly included in the negotiating framework as an alternative to full membership."""
但每个国家的意见领袖以及那些闭塞者的亲戚朋友却在关注，而他们的影响力可以营造一种令每个人都不太舒服的气氛。	But opinion leaders, and friends and relatives of the least informed in each country, were following it, and their influence can create an atmosphere that makes everyone less willing to spend.	But opinion leaders in every country, as well as the relatives and friends of the blockers, are watching, and their influence can create an atmosphere that is uncomfortable for everyone.	Lexical Error	"The model translation is ""But opinion leaders in every country, as well as the relatives and friends of the blockers, are watching, and their influence can create an atmosphere that is uncomfortable for everyone."" The model translates the Chinese term for ""least informed"" as ""blockers,"" which is inaccurate and changes the meaning. The phrase ""uncomfortable for everyone"" is also vaguer than ""makes everyone less willing to spend,"" which specifically connects the atmosphere to spending behavior. The model loses the economic context of the original. The correct translation should be ""But opinion leaders, and friends and relatives of the least informed in each country, were following it, and their influence can create an atmosphere that makes everyone less willing to spend."""
人民党批评国大党“讨好”印度的少数民族，顽固坚持印度爱国联盟阵线，人民党受到印度社会一些顽固偏执势力的支持。	The BJP, which accuses Congress of “appeasing” India’s minorities, hews to a staunchly Hindu-chauvinist line, and has received support from some of the most bigoted and intolerant sections of Indian society.	The BJP criticizes the Congress for “appeasing” India’s minorities, and is supported by some of the more intolerant forces in Indian society.	Omission/Addition Error	"The model translation is ""The BJP criticizes the Congress for 'appeasing' India's minorities, and is supported by some of the more intolerant forces in Indian society."" The model omits several key details. It drops ""hews to a staunchly Hindu-chauvinist line,"" which is crucial information about BJP's ideology. It also changes ""some of the most bigoted and intolerant sections"" to just ""some of the more intolerant forces,"" losing the stronger characterization of ""most bigoted."" The phrase ""more intolerant"" is also weaker than ""most bigoted and intolerant."" The correct translation should be ""The BJP, which accuses Congress of 'appeasing' India's minorities, hews to a staunchly Hindu-chauvinist line, and has received support from some of the most bigoted and intolerant sections of Indian society."""
问题是，他们一旦这样做了又会迎来新总理安吉拉·默克尔（Angela Merkel）四年的任期。 而她对新自由主义项目的承诺几乎和我一样坚定。	The problem is that the electorate will then get four years of rule by a chancellor, Angela Merkel, whose commitment to the neo-liberal project is almost as strong as mine.	The problem is that if they do, they will be ushering in a four-year term for the new chancellor, AngelaMerkel, whose commitment to the neoliberal project is almost as firm as mine.	Grammatical Error	"The model translation is ""The problem is that if they do, they will be ushering in a four-year term for the new chancellor, AngelaMerkel, whose commitment to the neoliberal project is almost as firm as mine."" The model has a spacing error in ""AngelaMerkel"" (should be ""Angela Merkel""). The phrase ""if they do, they will be ushering in"" is more wordy than ""the electorate will then get,"" and changes the conditional structure. The model also says ""new chancellor"" when the original context suggests she is new to the role at that specific moment. The correct translation should be ""The problem is that the electorate will then get four years of rule by a chancellor, Angela Merkel, whose commitment to the neo-liberal project is almost as strong as mine."""
工作人员会把一头可怜的动物绑在树上，事先麻醉以防止它乱动，然后自己躲进射击死角，静候着伟人开枪猎熊。	They would chain some poor beast to a tree, drug it to keep it still, and conceal themselves around the blind from which the Great Man would shoot.	Workers would tie a helpless animal to a tree, sedate it so that it would not move, and then hide in a shooting position, waiting for the great hunter to shoot the bear.	Omission/Addition Error	"The model translation is ""Workers would tie a helpless animal to a tree, sedate it so that it would not move, and then hide in a shooting position, waiting for the great hunter to shoot the bear."" The model adds ""bear"" at the end, specifying the animal type when the Chinese says ""poor beast,"" keeping it more general. It also changes ""conceal themselves around the blind"" to ""hide in a shooting position,"" losing the specific term ""blind"" (a hunting structure). The phrase ""waiting for the great hunter"" also adds interpretive content not present in the more neutral ""static候着伟人"" (waiting for the Great Man). The correct translation should be ""They would chain some poor beast to a tree, drug it to keep it still, and conceal themselves around the blind from which the Great Man would shoot."""
马基雅维利还强调当领导人面临与吸引力的软实力的权衡时，胁迫和收买的硬实力的重要性 ， “ 受到爱戴取决于他的臣民，而受到畏惧取决于他自己 。 ”	Machiavelli also stressed the importance of the hard power of coercion and payment when a leader faces a tradeoff with the soft power of attraction, “since being loved depends upon his subjects, while his being feared depends upon himself.”	Machiavelli also emphasized the importance of the hard power of coercion and bribery when leaders face a balancing act between the soft power of attractiveness and the fear they inspire in their subjects, “loved by his subjects and feared by himself.”	Grammatical Error	"The model translation is ""Machiavelli also emphasized the importance of the hard power of coercion and bribery when leaders face a balancing act between the soft power of attractiveness and the fear they inspire in their subjects, 'loved by his subjects and feared by himself.'"" The quote at the end is grammatically garbled and makes no sense - ""loved by his subjects and feared by himself"" is not coherent. The original quote should be ""since being loved depends upon his subjects, while his being feared depends upon himself,"" which explains the asymmetry of power sources. The model also changes ""payment"" to ""bribery,"" which has more negative connotations. The correct translation should be ""Machiavelli also stressed the importance of the hard power of coercion and payment when a leader faces a tradeoff with the soft power of attraction, 'since being loved depends upon his subjects, while his being feared depends upon himself.'"""
自豪并且舒适地生活在他们自己狭小的国家里的荷兰人确实像瑞士人一样经常以一种自命不凡的眼光看待外部的世界。	It is true that the Dutch, proud and comfortable inside their narrow borders, have, like the Swiss, often viewed the outside world with a degree of smugness.	Proud and content to live in their own small country, the Dutch do, like the Swiss, tend to look at the rest of the world with an air of condescension and superiority.	Fluency Error	"The model translation is ""Proud and content to live in their own small country, the Dutch do, like the Swiss, tend to look at the rest of the world with an air of condescension and superiority."" The model adds ""and superiority"" which is redundant with ""condescension"" (which already implies feeling superior). The phrase ""tend to look at"" is also slightly less natural than ""viewed."" The model changes ""self-satisfied and comfortable inside their narrow borders"" to ""proud and content to live in their own small country,"" which softens the critique. The correct translation should be ""It is true that the Dutch, proud and comfortable inside their narrow borders, have, like the Swiss, often viewed the outside world with a degree of smugness."""
因此，新政府的立场将是至关重要的：支持塞浦路斯解决方案对土耳其十分有利；但土耳其也有可能老方一帖，放弃眼前千载难逢的良机。	The new administration’s stance will thus be critical: Turkey has much to gain by supporting a solution in Cyprus; but it could also revert to old habits and spoil today’s unique opportunity.	Thus, the new government’s stance will be crucial: support for the Cyprus settlement is in Turkey’s interest; but Turkey, too, risks missing a once-in-a-lifetime opportunity to seize the reins of power in the island’s affairs.	Omission/Addition Error	"The model translation is ""Thus, the new government's stance will be crucial: support for the Cyprus settlement is in Turkey's interest; but Turkey, too, risks missing a once-in-a-lifetime opportunity to seize the reins of power in the island's affairs."" The model changes the ending significantly. The original says Turkey ""could also revert to old habits and spoil today's unique opportunity,"" but the model changes this to ""risks missing a once-in-a-lifetime opportunity to seize the reins of power in the island's affairs."" The phrase ""seize the reins of power"" suggests Turkey is trying to control Cyprus, which adds a negative implication not present in the original about simply spoiling an opportunity. The correct translation should be ""The new administration's stance will thus be critical: Turkey has much to gain by supporting a solution in Cyprus; but it could also revert to old habits and spoil today's unique opportunity."""
这种紧张在1995年后得到了缓解，主要是因为俄裔分裂势力内部出现了分化，而莫斯科当时也面临着车臣出现分裂的紧张局势而顾不上支持他们。	They subsided after 1995 largely because the Russian separatists were divided, and Moscow, facing separatist pressures in Chechnya, showed little inclination to support them.	This tension eased after 1985, mainly because of the fragmentation of the Russian separatist movement, and because Moscow was preoccupied with the breakup of Chechnya at the time and had no appetite for supporting them.	Semantic Error	"The model translation is ""This tension eased after 1985, mainly because of the fragmentation of the Russian separatist movement, and because Moscow was preoccupied with the breakup of Chechnya at the time and had no appetite for supporting them."" The date is wrong - it should be 1995, not 1985, which is a 10-year error that changes the historical context. The phrase ""breakup of Chechnya"" is also inaccurate; the original refers to ""separatist pressures in Chechnya,"" not a breakup. Chechnya was facing separatist movement, not breaking up itself. The correct translation should be ""They subsided after 1995 largely because the Russian separatists were divided, and Moscow, facing separatist pressures in Chechnya, showed little inclination to support them."""
亚沙·芒克（Yascha Mounk）和罗伯托·斯特凡·佛阿（Roberto Stefan Foa）在《外交事务 》 （ Foreign Affairs）杂志上的文章中指出，西方自由民主占据世界最强文化和经济力量的时代也许即将结束了。	Writing in Foreign Affairs, Yascha Mounk and Roberto Stefan Foa argue that the era when Western liberal democracies were the world’s top cultural and economic powers may be drawing to a close.	According to a recent article in Foreign Affairs, the era of Western liberal democracy as the world’s strongest cultural and economic force may be coming to an end, with the rise of illiberal democracies and authoritarian regimes.	Named Entity Error	"The model translation is ""According to a recent article in Foreign Affairs, the era of Western liberal democracy as the world's strongest cultural and economic force may be coming to an end, with the rise of illiberal democracies and authoritarian regimes."" The model omits the authors' names (Yascha Mounk and Roberto Stefan Foa) entirely, which removes important attribution. It also adds ""with the rise of illiberal democracies and authoritarian regimes"" at the end, which is not in the source text and represents an addition of interpretive content. The correct translation should be ""Writing in Foreign Affairs, Yascha Mounk and Roberto Stefan Foa argue that the era when Western liberal democracies were the world's top cultural and economic powers may be drawing to a close."""
不管怎么说，有关印度独立运动的概念过于复杂，尼赫鲁的理想已经得到很好的实施，现在是将甘地的理念请回来的时候了。	After all, it was out of their complicated marriage of ideas that independent India was born. Nehru’s vision has had a good run; now it is time to bring back Gandhi’s.	In any case, the concept of the Indian independence movement was too complex, and Nehru’s ideal had been well implemented; it was time to return to Gandhi’s concept.	Semantic Error	"The model translation is ""In any case, the concept of the Indian independence movement was too complex, and Nehru's ideal had been well implemented; it was time to return to Gandhi's concept."" The model misinterprets the relationship between the ideas. The original says it was ""out of their complicated marriage of ideas that independent India was born,"" emphasizing collaboration, not that one concept was too complex. The model also makes it sound like Nehru's vision was successfully completed, when the original says it ""has had a good run"" (meaning its time has passed). The correct translation should be ""After all, it was out of their complicated marriage of ideas that independent India was born. Nehru's vision has had a good run; now it is time to bring back Gandhi's."""
哈杜德适用于通奸、酗酒和叛教等罪名。 这是一次马基雅维利式的操作，不但将PAS拉出了反对派联盟，也让哈迪为丑闻缠身的纳吉布辩护。	It was a Machiavellian masterstroke that not only drew the PAS out of the opposition coalition, but also led Hadi to defend the scandal-plagued Najib.	Hadi’s prosecution of adultery, drunkenness, and apostasy was a Machiavellian move that not only pulled the PAS out of the opposition coalition, but also allowed Hadi to defend the scandal-ridden Najib.	Named Entity Error	"The model translation is ""Hadi's prosecution of adultery, drunkenness, and apostasy was a Machiavellian move that not only pulled the PAS out of the opposition coalition, but also allowed Hadi to defend the scandal-ridden Najib."" The model makes it sound like Hadi was prosecuting people for these crimes, when actually these are the types of crimes covered by hudud law that Hadi was trying to implement. The phrase ""Hadi's prosecution"" misrepresents what happened. The original refers to hudud law application, not Hadi prosecuting people. This fundamentally changes the nature of the action being described. The correct translation should be ""It was a Machiavellian masterstroke that not only drew the PAS out of the opposition coalition, but also led Hadi to defend the scandal-plagued Najib."""
发自香港 — — 上任还不到100天，香港新一任行政长官梁振英就成为了政治焦点，更以前所未有的速度丧失了原本精明强干，诚实可信及铁腕领袖的形象。	HONG KONG – After less than 100 days in office, C.Y. Leung, Hong Kong’s new Chief Executive, is already in political intensive care. In record time, he has managed to lose his veneer of competence, credibility, and steely leadership.	HONG KONG – Hong Kong’s new chief executive, Leung Chun-ying, has barely been in office for 10 days, and he has already lost more of his reputation for shrewdness, honesty, competence, and toughness than any previous chief executive ever did in his first hundred days in office.	Grammatical Error	"The model translation is ""HONG KONG – Hong Kong's new chief executive, Leung Chun-ying, has barely been in office for 10 days, and he has already lost more of his reputation for shrewdness, honesty, competence, and toughness than any previous chief executive ever did in his first hundred days in office."" The model changes ""less than 100 days"" to ""barely 10 days,"" which is a significant numerical error. It also completely restructures the sentence with a comparison to previous chief executives that is not in the original. The phrase ""already lost more of his reputation...than any previous chief executive"" is an addition that changes the meaning. The correct translation should be ""HONG KONG – After less than 100 days in office, C.Y. Leung, Hong Kong's new Chief Executive, is already in political intensive care. In record time, he has managed to lose his veneer of competence, credibility, and steely leadership."""
而这仍是中国经济“文艺复兴“般的巨大繁荣 — — 尽管某些其中的效应是如此困扰这位年老的女爱国者 — — 中国的经济复苏是当今世界史上最非凡的成就。	Yet it is China’s economic renaissance – some of whose effects so disturbed this patriotic old woman – which has been the most remarkable event in recent world history.	And this is still a huge boom for the Chinese economy – though some of the effects are so disturbing to this elderly patriot – that China’s economic recovery is one of the most remarkable achievements in world history.	Fluency Error	"The model translation is ""And this is still a huge boom for the Chinese economy – though some of the effects are so disturbing to this elderly patriot – that China's economic recovery is one of the most remarkable achievements in world history."" The model's structure is awkward with the phrase ""still a huge boom...though some of the effects are so disturbing...that China's economic recovery."" The use of dashes and the ""though...that"" construction creates a confusing sentence. The model also changes ""economic renaissance"" to ""economic recovery,"" losing the poetic quality. It adds ""one of the most"" when the original says ""the most remarkable,"" weakening the superlative. The correct translation should be ""Yet it is China's economic renaissance – some of whose effects so disturbed this patriotic old woman – which has been the most remarkable event in recent world history."""
另有三分之一的学生的政治立场正好相反，他们认为美联储前主席艾伦·格林斯潘（Alan Greenspan）是罪魁祸首。	Another third, at the opposite end of the political spectrum, saw former Fed Chairman Alan Greenspan as the villain.	Another third of the students blame former Fed Chairman Alan Greenspon for the crisis, which they consider to be the fault of no one but him.	Semantic Error	"The model translation is ""Another third of the students blame former Fed Chairman Alan Greenspon for the crisis, which they consider to be the fault of no one but him."" The model adds ""which they consider to be the fault of no one but him,"" which is not in the source and represents an interpretive addition. The original simply says they ""saw"" him as ""the villain,"" which is less extreme than blaming him exclusively. The model also misspells the name as ""Greenspon"" instead of ""Greenspan."" The phrase ""at the opposite end of the political spectrum"" is also omitted. The correct translation should be ""Another third, at the opposite end of the political spectrum, saw former Fed Chairman Alan Greenspan as the villain."""
根据传统，此次三中全会《决定》没有讨论关于增长和发展的问题，而人们希望政府尽快给出这方面问题的详细方案。	In line with tradition, the Third Plenum’s resolution did not discuss problems concerning growth and development, which one hopes the government will address in greater detail in the near future.	According to tradition, the Three Gorges Declaration did not discuss issues of growth and development, and it is hoped that the government will provide detailed solutions in this area as soon as possible.	Named Entity Error	"The model translation is ""According to tradition, the Three Gorges Declaration did not discuss issues of growth and development, and it is hoped that the government will provide detailed solutions in this area as soon as possible."" The model mistranslates ""Third Plenum's resolution"" as ""Three Gorges Declaration,"" which is completely wrong. The Third Plenum is a major Communist Party political meeting, while Three Gorges refers to a dam project - these are entirely different things. This is a critical named entity error. The model also changes the tone from ""one hopes"" to ""it is hoped,"" making it less personal. The correct translation should be ""In line with tradition, the Third Plenum's resolution did not discuss problems concerning growth and development, which one hopes the government will address in greater detail in the near future."""
在阅读美国前副国务卿塔尔博特（Strobe Talbott）的著作《大实验 》 （ The Great Experiment）时，我的印象是今天正在起作用的动态的某些根源很早前就种下了。	Upon rereading former US Deputy Secretary of State Strobe Talbott’s book The Great Experiment, I was left with the impression that the seeds of some of the dynamics at play today were sown some time ago.	While reading Strobetalbott’s book “The Great Experimental,” my impression was that some of the dynamics that are at work today have their roots in events that took place a long time ago.	Named Entity Error	"The model translation is ""While reading Strobetalbott's book 'The Great Experimental,' my impression was that some of the dynamics that are at work today have their roots in events that took place a long time ago."" The model combines ""Strobe Talbott"" into one word ""Strobetalbott,"" which is a name error. It also changes ""The Great Experiment"" to ""The Great Experimental,"" which is incorrect. The model uses ""While reading"" instead of ""Upon rereading,"" losing the indication that this is a second reading. It also changes the metaphor from ""seeds...were sown"" to ""have their roots in,"" which is less vivid. The correct translation should be ""Upon rereading former US Deputy Secretary of State Strobe Talbott's book The Great Experiment, I was left with the impression that the seeds of some of the dynamics at play today were sown some time ago."""
但巴黎银行似乎对此不太感兴趣；它自身的调查与通用汽车的投入程度无法相提并论，也并没有通过可以发现问题的有效控制措施来防止继续违规。	BNP did not seem to do any of this with gusto; its investigation did not match the effort made, for example, by GM. It did not prevent subsequent violations by implementing effective controls to detect problems.	But BNP Paribas does not seem to be interested; its own investigation is not commensurate with GM’s investment, and it does not have effective controls in place to prevent further violations from being discovered.	Fluency Error	"The model translation is ""But BNP Paribas does not seem to be interested; its own investigation is not commensurate with GM's investment, and it does not have effective controls in place to prevent further violations from being discovered."" The phrase ""prevent further violations from being discovered"" is illogical - you want to prevent violations, not prevent their discovery. The original says ""prevent subsequent violations by implementing effective controls to detect problems,"" which is the opposite logic. The model also changes ""with gusto"" to ""interested,"" losing the emphasis on enthusiasm level. The correct translation should be ""BNP did not seem to do any of this with gusto; its investigation did not match the effort made, for example, by GM. It did not prevent subsequent violations by implementing effective controls to detect problems."""
但即便中国想制定更加宏大的目标，目前在中国的目标产业的世界市场上份额远高于中国的美国，又有什么权利阻止中国参与争夺？	But even if China wanted to set more ambitious goals, by what right could the US – which now possesses much larger market shares in the targeted industries – block it from attempting to do so?	But if China wants to pursue more ambitious goals, what right does the US have to stop it, given that China’s share of world markets for Chinese-made goods is far larger than America’s?	Grammatical Error	"The model translation is ""But if China wants to pursue more ambitious goals, what right does the US have to stop it, given that China's share of world markets for Chinese-made goods is far larger than America's?"" The model reverses the market share relationship. The original says ""the US now possesses much larger market shares in the targeted industries"" than China, but the model says China's share is ""far larger than America's."" This is a complete reversal of the factual claim. The phrase ""Chinese-made goods"" is also not in the original, which refers to ""targeted industries"" more generally. The correct translation should be ""But even if China wanted to set more ambitious goals, by what right could the US – which now possesses much larger market shares in the targeted industries – block it from attempting to do so?"""
如果我们失去了信心，那么首先是那些最大和最强的国家，其次是中欧所有的国家，都将弃欧洲大同之梦于不顾。	If not, then first the biggest and the strongest countries, and then the Central Europeans, will turn away from the European dream.	If we lose confidence, it will be the largest and strongest countries, and then all the countries of Central Europe, that will abandon the dream of a united Europe, regardless of the consequences.	Semantic Error	"The model translation is ""If we lose confidence, it will be the largest and strongest countries, and then all the countries of Central Europe, that will abandon the dream of a united Europe, regardless of the consequences."" The model adds ""regardless of the consequences"" which is not in the source and changes the meaning. The original says they will ""turn away from the European dream,"" which is simpler. The model also changes ""first...then"" to ""it will be...and then,"" which weakens the sequential structure. The phrase ""abandon...regardless of the consequences"" suggests recklessness not present in the original. The correct translation should be ""If not, then first the biggest and the strongest countries, and then the Central Europeans, will turn away from the European dream."""
当一个具有分析能力、受过训练来努力探寻真理的头脑以及这样的一些人摆脱了自我怀疑，就可以做出令人惊叹的事情。	When an analytical mind, a mind that is trained to search rigorously for the truth and as part of a community of such people is set free from self-doubt, it can do amazing things.	It is remarkable when a mind with analytical capabilities, trained to seek the truth, and such a mind escapes self-doubt.	Incomplete Translation	"The model translation is ""It is remarkable when a mind with analytical capabilities, trained to seek the truth, and such a mind escapes self-doubt."" This sentence is incomplete and grammatically broken. The phrase ""and such a mind escapes self-doubt"" doesn't properly connect to what comes before, and the sentence doesn't have a proper main clause conclusion. The original continues with ""is set free from self-doubt...it can do amazing things,"" which the model truncates. The model also loses ""as part of a community of such people,"" which is an important element. The correct translation should be ""When an analytical mind, a mind that is trained to search rigorously for the truth and as part of a community of such people is set free from self-doubt, it can do amazing things."""
因为女性缺乏经验，其首要角色是看护者，其谈判风格尚不为人所接受，且旧歧视顽固不化，这些都能解释性别差异。	Lack of experience, primary caregiver responsibilities, bargaining style, and plain old discrimination all help to explain the gender gap.	Given women’s lack of experience, their predominant role as caregivers, the unacceptability of their negotiating style, and the persistence of old stereotypes, it is not surprising that there are gender differences.	Fluency Error	"The model translation is ""Given women's lack of experience, their predominant role as caregivers, the unacceptability of their negotiating style, and the persistence of old stereotypes, it is not surprising that there are gender differences."" The model adds ""Given"" at the start and restructures into a single long sentence with ""it is not surprising that,"" which makes the sentence unnecessarily wordy and changes the tone. The original is more direct with short phrases followed by ""all help to explain the gender gap."" The model also changes ""plain old discrimination"" to ""persistence of old stereotypes,"" which is less forceful. The correct translation should be ""Lack of experience, primary caregiver responsibilities, bargaining style, and plain old discrimination all help to explain the gender gap."""
除此之外，这些参与者还想方设法要去撤销或严重削弱该机构，并出于这一目的向众议院金融服务委员会成员捐赠了大量的资金。	These players, among others, have worked hard to abolish or severely curtail the agency, donating a great deal of money to members of the House Financial Services Committee for the same end.	Beyond that, they have sought to dismantle or severely weaken the agency, contributing generously to members of the House Financial Services Committee.	Omission/Addition Error	"The model translation is ""Beyond that, they have sought to dismantle or severely weaken the agency, contributing generously to members of the House Financial Services Committee."" The model omits ""for the same end,"" which clarifies that the campaign contributions are made specifically to achieve the goal of dismantling or weakening the agency. This omission loses the explicit connection between the donations and the objective. The model also changes ""worked hard to abolish"" to ""sought to dismantle,"" which is slightly weaker, and drops ""These players, among others"" from the beginning. The correct translation should be ""These players, among others, have worked hard to abolish or severely curtail the agency, donating a great deal of money to members of the House Financial Services Committee for the same end."""
在未来，财政政策和货币政策必须相互配合，不管财政政策还是货币政策，都无法单枪匹马稳定具有内在不稳定性的市场经济。	In the future, fiscal and monetary policy will have to work together: neither on its own can stabilize inherently unstable market economies.	In the future, fiscal and monetary policies will have to work together, regardless of whether fiscal or monetARY policies are used, to stabilize a market economy that is inherently unstable.	Grammatical Error	"The model translation is ""In the future, fiscal and monetary policies will have to work together, regardless of whether fiscal or monetARY policies are used, to stabilize a market economy that is inherently unstable."" The model has a typo with ""monetARY"" having strange capitalization. The phrase ""regardless of whether fiscal or monetary policies are used"" is also redundant and confusing since it already established that both will work together. The original makes a different point: ""neither on its own can stabilize,"" meaning each alone is insufficient. The model loses this key message about the insufficiency of individual policies. The correct translation should be ""In the future, fiscal and monetary policy will have to work together: neither on its own can stabilize inherently unstable market economies."""
在一系列和传统方法在有些地方如此不同的观点包围中，斯宾塞已经取得达成共识的程度，是一个了不起的壮举。	It is quite a feat to have achieved the degree of consensus he has around a set of ideas that departs in places so markedly from the traditional approach.	Spencer has achieved an impressive degree of consensus, surrounded as it is by a cacophony of competing ideas that are so different from the traditional approach in some places that it is hard to see how they could ever be reconciled.	Fluency Error	"The model translation is ""Spencer has achieved an impressive degree of consensus, surrounded as it is by a cacophony of competing ideas that are so different from the traditional approach in some places that it is hard to see how they could ever be reconciled."" The model's sentence structure is extremely convoluted with ""surrounded as it is by a cacophony"" and the long relative clause at the end. The original makes a simpler point: it's remarkable to achieve consensus ""around a set of ideas that departs in places so markedly from the traditional approach."" The model also adds ""it is hard to see how they could ever be reconciled,"" which introduces new content not in the source. The correct translation should be ""It is quite a feat to have achieved the degree of consensus he has around a set of ideas that departs in places so markedly from the traditional approach."""
开罗 — — “无论哪个党派在议会获得了绝大多数，他们都是受人欢迎的，因为他们无法实施任何人民不愿意实施的措施 。 ”	CAIRO – “Whatever the majority in the People’s Assembly, they are very welcome, because they won’t have the ability to impose anything that the people don’t want.”	CAIRO – “Whichever party gets a majority in parliament will be popular, because it will be unable to implement anything that the people do not want to implement.”	Grammatical Error	"The model translation is ""CAIRO – 'Whichever party gets a majority in parliament will be popular, because it will be unable to implement anything that the people do not want to implement.'"" The model changes ""Whatever the majority in the People's Assembly"" to ""Whichever party gets a majority in parliament,"" which loses the specific reference to ""People's Assembly"" (Egypt's parliament name). More importantly, the model adds ""to implement"" at the end, creating the awkward phrase ""people do not want to implement."" The original simply says ""don't want,"" which is clearer. The phrase ""they are very welcome"" is also changed to ""will be popular,"" shifting the tone. The correct translation should be ""CAIRO – 'Whatever the majority in the People's Assembly, they are very welcome, because they won't have the ability to impose anything that the people don't want.'"""
一个生物制药的早期例子是文特里亚生物科技公司（Ventria Bioscience）所生产的一种水稻，这种水稻包含两种人类蛋白质：乳铁蛋白和溶解酵素。	One early example of biopharming was the production by the biotech company Ventria Bioscience of rice that contained two human proteins, lactoferrin and lysozyme.	One early example of a biopharmaceutical is a strain of rice produced by Ventria BIOSCIENCE that contains two human proteins, lactoferrin and an enzyme, both of which are used to treat diarrhea in infants and the elderly.	Omission/Addition Error	"The model translation is ""One early example of a biopharmaceutical is a strain of rice produced by Ventria BIOSCIENCE that contains two human proteins, lactoferrin and an enzyme, both of which are used to treat diarrhea in infants and the elderly."" The model changes ""lysozyme"" to ""an enzyme,"" losing the specific name. More significantly, it adds an entire clause ""both of which are used to treat diarrhea in infants and the elderly"" that does not exist in the source text. This is a major content addition that introduces information not present in the original. The company name also has odd capitalization as ""BIOSCIENCE."" The correct translation should be ""One early example of biopharming was the production by the biotech company Ventria Bioscience of rice that contained two human proteins, lactoferrin and lysozyme."""
类似的药方 — — 以及包括大幅通胀的药方 — — 颇有市场，以往内对付经济停滞的常规手段已经试过并宣告失败。	Prescriptions like these – as with those for a jolt of inflation – have gained ground because the obvious solutions to economic stagnation have been tried and failed.	Such prescriptions – and others that include substantial inflation – are in vogue, and conventional remedies for economic stagnation that have been tried and found wanting are no longer an option.	Lexical Error	"The model translation is ""Such prescriptions – and others that include substantial inflation – are in vogue, and conventional remedies for economic stagnation that have been tried and found wanting are no longer an option."" The model changes ""prescriptions like these"" to ""such prescriptions – and others that include substantial inflation,"" making the inflation reference sound like a separate category when it should be included in ""like these."" The phrase ""no longer an option"" is also an addition. The original says ""the obvious solutions...have been tried and failed,"" not that they're no longer options. The model changes the meaning from ""failed"" to ""no longer an option,"" which is subtly different."
在阿根廷，布宜诺斯艾利斯市长马克里（Mauricio Macri）所属政党（曾经属于保守派，只在首都拥有优势）通过与中左翼的激进党（Radical Party）结盟而转向政治中间派并向各省渗透。	In Argentina, Buenos Aires Mayor Mauricio Macri’s party, once conservative and strong only in the capital, has moved both to the political center and the provinces through its alliance with the center-left Radical Party.	In Argentina, the city of Buenos Aires’s mayor, Maurício Macri, of a party (once conservative and with a strong presence only in the capital) that moved to the center by allying itself with the Radical Party, is spreading to the provinces.	Grammatical Error	"The model translation is ""In Argentina, the city of Buenos Aires's mayor, Maurício Macri, of a party (once conservative and with a strong presence only in the capital) that moved to the center by allying itself with the Radical Party, is spreading to the provinces."" The sentence structure is grammatically broken. The phrase ""the city of Buenos Aires's mayor...is spreading to the provinces"" incorrectly makes the mayor himself the subject of spreading, when it should be the party. The original clearly states ""Macri's party...has moved both to the political center and the provinces,"" making the party the actor. The model's use of nested parenthetical information also creates confusion about what is spreading. The correct translation should be ""In Argentina, Buenos Aires Mayor Mauricio Macri's party, once conservative and strong only in the capital, has moved both to the political center and the provinces through its alliance with the center-left Radical Party."""
